https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC
1.67521E+12,2/1/23 0:00,ETH/BTC,0.06856,0.06949,0.06823,0.06917,190.917492,13.20576292
1.67512E+12,1/31/23 0:00,ETH/BTC,0.06862,0.06911,0.06843,0.06856,72.460905,4.967919647
1.67504E+12,1/30/23 0:00,ETH/BTC,0.06928,0.06928,0.06779,0.06862,126.295926,8.666426442
1.67495E+12,1/29/23 0:00,ETH/BTC,0.06829,0.06949,0.06821,0.06928,72.765272,5.041178044
1.67486E+12,1/28/23 0:00,ETH/BTC,0.06928,0.06939,0.0679,0.06829,65.788629,4.492705474
1.67478E+12,1/27/23 0:00,ETH/BTC,0.06965,0.06983,0.0684,0.06928,121.302419,8.403831588
1.67469E+12,1/26/23 0:00,ETH/BTC,0.06983,0.07014,0.06906,0.06965,73.653032,5.129933679
1.6746E+12,1/25/23 0:00,ETH/BTC,0.06862,0.06983,0.06794,0.06983,164.697704,11.50084067
1.67452E+12,1/24/23 0:00,ETH/BTC,0.071,0.07113,0.0675,0.06862,128.411589,8.811603237
1.67443E+12,1/23/23 0:00,ETH/BTC,0.07169,0.07209,0.07052,0.071,132.167647,9.383902937
1.67435E+12,1/22/23 0:00,ETH/BTC,0.07142,0.07247,0.0708,0.07169,88.798237,6.365945611
1.67426E+12,1/21/23 0:00,ETH/BTC,0.0732,0.07386,0.07118,0.07142,235.670924,16.83161739
1.67417E+12,1/20/23 0:00,ETH/BTC,0.07352,0.07474,0.0729,0.0732,124.702567,9.128227904
1.67409E+12,1/19/23 0:00,ETH/BTC,0.07325,0.07396,0.07315,0.07352,82.11614,6.037178613
1.674E+12,1/18/23 0:00,ETH/BTC,0.07414,0.07451,0.07306,0.07325,198.56581,14.54494558
1.67391E+12,1/17/23 0:00,ETH/BTC,0.07447,0.0747,0.07384,0.07414,134.911329,10.00232593
1.67383E+12,1/16/23 0:00,ETH/BTC,0.07436,0.07494,0.07373,0.07447,95.621301,7.120918285
1.67374E+12,1/15/23 0:00,ETH/BTC,0.07395,0.07453,0.07349,0.07436,153.570671,11.4195151
1.67365E+12,1/14/23 0:00,ETH/BTC,0.07284,0.07603,0.07201,0.07395,568.21572,42.01955249
1.67357E+12,1/13/23 0:00,ETH/BTC,0.07509,0.07509,0.07284,0.07284,196.542524,14.31615745
1.67348E+12,1/12/23 0:00,ETH/BTC,0.07739,0.07785,0.07509,0.07509,251.599925,18.89263837
1.6734E+12,1/11/23 0:00,ETH/BTC,0.07657,0.07793,0.07626,0.07739,211.655515,16.38002031
1.67331E+12,1/10/23 0:00,ETH/BTC,0.07691,0.07722,0.07657,0.07657,136.601363,10.45956636
1.67322E+12,1/9/23 0:00,ETH/BTC,0.07543,0.0775,0.07511,0.07691,281.170292,21.62480716
1.67314E+12,1/8/23 0:00,ETH/BTC,0.07459,0.07555,0.07441,0.07543,145.525893,10.97701811
1.67305E+12,1/7/23 0:00,ETH/BTC,0.07487,0.07487,0.07441,0.07459,99.874022,7.449603301
1.67296E+12,1/6/23 0:00,ETH/BTC,0.07427,0.07537,0.0742,0.07487,84.239161,6.306985984
1.67288E+12,1/5/23 0:00,ETH/BTC,0.07453,0.0746,0.07408,0.07427,176.036934,13.07426309
1.6728E+12,1/4/23 4:00,ETH/BTC,0.07425,0.075,0.07407,0.0746,2294.41153,171.1631001
1.67279E+12,1/4/23 0:00,ETH/BTC,0.07283,0.075,0.07282,0.07453,2566.13142,191.2537747
1.67272E+12,1/3/23 4:00,ETH/BTC,0.07284,0.07478,0.07252,0.07425,291.28269,21.62773973
1.6727E+12,1/3/23 0:00,ETH/BTC,0.07281,0.07286,0.07252,0.07283,28.7387,2.093039521
1.67263E+12,1/2/23 4:00,ETH/BTC,0.07213,0.07297,0.0721,0.07284,138.774344,10.10832322
1.67262E+12,1/2/23 0:00,ETH/BTC,0.07226,0.07297,0.0721,0.07281,131.903993,9.60392973
1.67255E+12,1/1/23 4:00,ETH/BTC,0.07226,0.07245,0.07208,0.07213,31.764408,2.291166749
1.67253E+12,1/1/23 0:00,ETH/BTC,0.07241,0.07245,0.07208,0.07226,39.258554,2.836823112
1.67246E+12,12/31/22 4:00,ETH/BTC,0.07215,0.07261,0.07209,0.07226,106.951096,7.728286197
1.67244E+12,12/31/22 0:00,ETH/BTC,0.07232,0.07261,0.07209,0.07241,107.736474,7.801198082
1.67237E+12,12/30/22 4:00,ETH/BTC,0.07216,0.07247,0.07191,0.07215,102.635874,7.405178309
1.67236E+12,12/30/22 0:00,ETH/BTC,0.07218,0.07247,0.07191,0.07232,364.292262,26.34561639
1.67229E+12,12/29/22 4:00,ETH/BTC,0.07213,0.07231,0.0719,0.07216,772.350382,55.73280357
1.67227E+12,12/29/22 0:00,ETH/BTC,0.07191,0.07231,0.07185,0.07218,514.948929,37.1690137
1.6722E+12,12/28/22 4:00,ETH/BTC,0.07197,0.07213,0.07159,0.07213,452.805966,32.66089433
1.67219E+12,12/28/22 0:00,ETH/BTC,0.07254,0.07258,0.07159,0.07191,505.605516,36.35809266
1.67211E+12,12/27/22 4:00,ETH/BTC,0.07255,0.07266,0.0716,0.07197,230.684916,16.6023934
